Link,Name
https://www.thesathlab.com/,Signal Processing and Artificial Intelligence for Time Variant Health Data (SATH) Lab
https://web.northeastern.edu/guii,Game User Interaction And Intelligence Lab (GUII)
https://db.khoury.northeastern.edu/,Databases (DATA Lab)
https://llpr.ccs.neu.edu/,Lab for Learning and Planning in Robotics
https://nlp.khoury.northeastern.edu/,Northeastern Natural Language Processing Research Group
https://db.khoury.northeastern.edu/,Databases (DATA Lab)
https://visualization.khoury.northeastern.edu/,Data Visualization Group
http://www.lazerlab.net/,Lazer Lab
http://www.ccs.neu.edu/home/eelhami/mcadsLab.htm,Mcads Lab
https://www.mobs-lab.org/,Mobs Lab
https://nuvis.northeastern.edu/,Northeastern University Visualization Consortium (NUVis)
https://networkscienceinstitute.org/,Network Science Institute
https://carla.khoury.northeastern.edu/applied-machine-learning-group,Applied Machine Learning Group
https://db.khoury.northeastern.edu/,Databases (DATA Lab)
https://llpr.ccs.neu.edu/,Lab for Learning and Planning in Robotics
https://www.mhealthgroup.org/,mHealth
http://relationalagents.com/,Relational Agents Group
