Link,Abstract,Led-By,Co-Led-By
https://www.khoury.northeastern.edu/research_projects/eager-wireless-sensing-of-speech-kinematics-and-acoustics-for-remediation/,"Speech is complex and intricate, requiring coordination of numerous muscle groups and physiological systems. Approximately 2% of Americans have imprecise speech due to mislearning during development (articulation disorder) or neuromotor conditions. This project aims to develop a Lingual-Kinematic and Acoustic sensor technology (LinKa) that is lightweight, low-cost, wireless, and easy to deploy both clinically and at home for speech remediation. LinKa will leverage the sensing capabilities of the Tongue Drive System (TDS) and expertise in spoken interaction technologies for individuals with speech impairment, as well as machine learning and multimodal data fusion, to develop a prototype clinically viable tool for enhancing speech clarity by coupling lingual-kinematic and acoustic data. The system will be evaluated on six individuals with neuromotor speech impairment and six healthy age-matched controls.",Rupal Patel,Yun Raymond Fu
https://www.khoury.northeastern.edu/research_projects/wehe-revealing-net-neutrality-violations/,"Wehe uses your device to exchange Internet traffic recorded from real, popular apps like YouTube and Spotify—effectively making it look as if you are using those apps. As a result, if an Internet service provider (ISP) tries to slow down an YouTube, Wehe would see the same behavior. We then send the same app’s Internet traffic, but replacing the content with randomized bytes, which prevents the ISPs from classifying the traffic as belonging to the app. Our hypothesis is that the randomized traffic will not cause an ISP to conduct application-specific differentiation (e.g., throttling or blocking), but the original traffic will. We repeat these tests several times to rule out noise from bad network conditions, and tell you at the end whether your ISP is giving different performance to an app’s network traffic.",David Choffnes,Alan Mislove
https://www.khoury.northeastern.edu/research_projects/visualization-of-event-sequences-for-decision-making/,"Many datasets of interest to scientists, analysts, clinicians, and patients include events that take place over time. Events can come from electronic monitoring devices or manual data entry, and all together form an event sequence. By analyzing event sequences, we can make inferences about complex behaviors over time. Interactive visualization tools are an important tool for human decision makers to use for exploring and understanding data. However, the existing visualization techniques need to be improved to support interpretation of data in applications with a large number of events that vary in frequency, accuracy, and timing. This project will create new visualization encoding and interaction design techniques that will advance the state of the art for understanding long streams of event sequences. Techniques will be validated for general uses as well as in a case study on type 1 diabetes treatment decision support. This research will afford more effective data exploration and decision-making tools for analyzing temporal data, applicable to many domains. The resulting visualization techniques will benefit clinicians and patients performing intensive insulin management for type 1 diabetes by enabling them to reduce the burden of care and improve outcomes. In addition, there are immediate applications to the treatment of chronic heart failure as well as non-health domains such as data centers monitoring cyber security. The outreach efforts in this research will disseminate the findings to the type 1 diabetes community, including both caregivers and patients, as well as encourage teenage girls to pursue careers in STEM.",Cody Dunne,Cody Dunne
https://www.khoury.northeastern.edu/research_projects/virtual-coach-for-atrial-fibrillation-support/,"When deployed on smartphones, virtual agents have the potential to deliver life-saving advice regarding emergency medical conditions, as well as provide a convenient channel for health education to improve the safety and efficacy of pharmacotherapy.

We are developing a smartphone-based virtual agent that provides counseling to patients with Atrial Fibrillation. Atrial Fibrillation is a highly prevalent heart rhythm disorder and is known to significantly increase the risk of stroke, heart failure and death. In this project, a virtual agent is deployed in conjunction with a smartphone-based heart rhythm monitor that lets patients obtain real-time diagnostic information on the status of their atrial fibrillation and determine whether immediate action may be needed.",Timothy W. Bickmore,Timothy W. Bickmore
https://www.khoury.northeastern.edu/research_projects/verifying-threaded-software-using-resource-bounds-an-approach-towards-dependable-concurrency/,"Software development is facing a paradigm shift towards ubiquitous concurrent programming, giving rise to software that is among the most complex technical artifacts ever created by humans. Concurrent programming presents several risks and dangers for programmers who are overwhelmed by puzzling and irreproducible concurrent program behavior, and by new types of bugs that elude traditional quality assurance techniques. If this situation is not addressed, we are drifting into an era of widespread unreliable software, with consequences ranging from collapsed programmer productivity, to catastrophic failures in mission-critical systems.

This project will take steps against a concurrent software crisis, by producing verification technology that assists non-specialist programmers in detecting concurrency errors, or demonstrating their absence. The proposed technology will confront the concurrency explosion problem that verification methods often suffer from. The project’s goal is a framework under which the analysis of programs with unbounded concurrency resources (such as threads of execution) can be soundly reduced to an analysis under a small constant resource bound, making the use of state space explorers practical. As a result, the project will largely eliminate the impact of unspecified computational resources as the major cause of complexity in analyzing concurrent programs. By developing tools for detecting otherwise undetectable misbehavior and vulnerabilities in concurrent programs, the project will contribute its part to averting a looming software quality crisis.",Thomas Wahl,Thomas Wahl
https://www.khoury.northeastern.edu/research_projects/career-verified-compilers-for-a-multi-language-world/,"Compilers play a critical role in the production of software and should be correct by preserving the behavior of all programs they compile. Verified compilers guarantee correct compilation of components and support linking with arbitrary target code, no matter its source. To achieve this, a formal semantics of interoperability between source and target languages is required. Additionally, a gradually type-safe target language based on LLVM is needed to support safe interoperability between components compiled from different languages. This project aims to develop a proof architecture for building verified compilers for today's world of multi-language software, benefiting software systems by enabling verified compilation of components.",Amal Ahmed,Amal Ahmed
https://www.khoury.northeastern.edu/research_projects/using-big-data-to-quantify-and-cultivate-genius/,"Far from being solo achievers acknowledged for pure achievement, geniuses may be largely the products of their networks. The goal of this research is to use big data to quantify and cultivate genius. The researchers will analyze data from newly searchable records containing the career paths, associations, and publication records of nearly every scientist working from the early 1900s until today. In the realm of fine art, a quite different but comparable dataset has been assembled to track things like gallery shows, institutional affiliations, and auction prices. The researchers will also scour books, articles, and archives to come up with a detailed sampling of people whom societies have deemed geniuses across many fields and eras. Once complete, the set of geniuses can be analyzed along with the control data both to see what geniuses have in common and how they differ from contemporaries in their fields, with the goal of understanding both what it takes for a high-achiever to “become” a genius — and what a society can do to encourage the development of the potential geniuses in its midst.",Albert-Laszlo Barabasi,Roberta Sinatra
https://www.khoury.northeastern.edu/research_projects/chs-medium-collaborative-research-understanding-online-creative-collaboration-over-multidimensional-networks/,"This research investigates the structure and dynamics of online collaboration. It aims to understand how multidimensional network configurations impact the success of value-creation processes within crowdsourcing systems and online communities. The project employs computational social science approaches to theorize and research the roles of social structure and influence within technology-mediated communication and cooperation processes. The findings will inform decisions on optimizing collaboration in various fields and guide system designers in developing features for effective collaboration. Additionally, managers will gain insights into using crowdsourcing solutions for innovation and marketing strategies, including peer-to-peer marketing. By analyzing digital trace data, the research explores population-level human interaction within crowdsourcing systems. It examines multidimensional networks, including affiliation, communication, affinity, and purchasing relationships, to understand how these structures enable large-scale collaboration. The project analyzes both online community activity and offline purchasing behavior to determine the economic consequences of online interactions. It contributes to the literature by examining network structures, modeling the feedback of success into value-creation processes, and developing methods to predict the economic success of creative products generated online. The research employs various computational and statistical approaches and shares technical resources and theoretical insights with the broader scientific community.",Christoph Riedl,Christoph Riedl
https://www.khoury.northeastern.edu/research_projects/trellis-privilege-separation-for-multi-user-applications-made-easy/,"Operating systems provide a wide variety of resource isolation and access control mechanisms, ranging from traditional user-based security models to fine-grained permission systems as found in modern mobile operating systems. However, comparatively little assistance is available for defining and enforcing access control policies within multiuser applications. These applications, often found in enterprise environments, allow multiple users to operate at different privilege levels in terms of exercising application functionality and accessing data. Developers of such applications bear a heavy burden in ensuring that security policies over code and data in this setting are properly expressed and enforced. We present Trellis, an approach for expressing hierarchical access control policies in applications and enforcing these policies during execution. The approach enhances the development toolchain to allow programmers to partially annotate code and data with simple privilege level tags, and uses a static analysis to infer suitable tags for the entire application. At runtime, policies are extracted from the resulting binaries and are enforced by a modified operating system kernel. Our evaluation demonstrates that this approach effectively supports the development of secure multi-user applications with modest runtime performance overhead.",Engin Kirda,William Robertson
https://www.khoury.northeastern.edu/research_projects/chs-medium-transforming-scientific-presentations-with-co-presenter-agents/,"Although oral scientific presentations are vital for disseminating research findings and inspiring audiences, they have not significantly evolved since the introduction of software like PowerPoint. This project aims to revolutionize these presentations using an intelligent, autonomous co-presenter agent that collaborates with the human presenter in preparing and delivering the talk. The agent will monitor the presenter's speech and gestures, audience feedback, and presentation media, dynamically choreographing these elements to maximize audience engagement and communication. The project will contribute to human-agent collaboration, artificial intelligence, computational linguistics, and human-computer interaction, advancing methods for human presenters to interact with co-presenter agents and presentation media. By amplifying presenters' abilities, the project will enhance the effectiveness of scientific presentations, potentially inspiring future generations to pursue careers in STEM fields.",Timothy W. Bickmore,Timothy W. Bickmore
